25;50;1.394;0.37788;0.566586;6.17155;82.4349;1.14812;146.157;5.93418;
25;60;3.53055;0.968728;1.62334;20.5777;376.894;3.30377;616.881;19.8562;
25;70;6.53867;1.74844;3.05078;45.7466;1077.02;7.12262;1680.52;44.5099;
25;80;10.8526;2.75401;4.95543;86.7455;2772.36;13.0581;4073.39;85.1701;
25;90;16.6304;4.00241;7.59683;152.956;8527.96;21.911;10601.7;153.26;
25;100;23.9124;5.53347;11.0372;262.994;16572;35.4034;21173.1;256.561;
25;110;33.3015;7.41896;15.6039;416.126;37271.6;55.7132;46396.2;407.113;
25;120;46.6974;9.9077;21.6619;636.092;64745.2;82.2873;79497.4;617.707;
50;50;1.88077;0.676238;1.40737;19.3214;725.466;3.62835;995.713;19.2606;
50;60;4.63904;1.67053;3.57719;59.5091;3185.91;10.5202;4137.09;59.5409;
50;70;8.87843;3.04042;6.86447;138.098;10037.6;22.9155;12531.6;138.327;
50;80;14.8849;4.8658;11.5979;275.692;26151.8;43.3053;31723.7;274.691;
50;90;23.7982;7.1712;18.0776;497.718;128930;76.5187;160518;496.318;
50;100;36.0671;10.2359;27.4408;863.145;307832;132.939;365843;860.391;
